0,1,2,3
1.0,0.8563889,0.10638815,0.5454061
0.0,0.72449154,0.89816666,0.14947551
9.0,0.13591576,0.38774186,0.884019
7.0,0.20708197,0.056134075,0.47852433
3.0,0.18365079,0.5048364,0.22424117
3.0,0.058840215,0.47645062,0.1815635
0.0,0.5494943,0.7416096,0.48662856
7.0,0.2601091,0.04673648,0.4566033
9.0,0.19139928,0.3294562,0.8571328
1.0,0.5893488,0.35707748,0.6277237
4.0,0.78116626,0.3003695,0.9731965
9.0,0.16320857,0.36193514,0.8498291
7.0,0.18515813,0.0294739,0.5341534
7.0,0.23858982,0.01661396,0.43933892
2.0,0.8675674,0.30433577,0.05784017
1.0,0.8788904,0.073489666,0.5949624
7.0,0.16981769,0.055064023,0.52847797
9.0,0.19397897,0.45613682,0.8483324
3.0,0.34103906,0.5958197,0.482154
3.0,0.058687866,0.49753976,0.18961138
9.0,0.118594915,0.437025,0.83728933
2.0,0.9347622,0.25212148,0.05039671
6.0,0.8932011,0.872023,0.9001461
4.0,0.80874676,0.28538564,0.9608003
5.0,0.08481866,0.8806777,0.6648979
3.0,0.036747903,0.5583561,0.21266744
5.0,0.12991661,0.7984251,0.5342785
7.0,0.5195432,0.34304553,0.54625094
2.0,0.8645201,0.35390347,0.09007743
1.0,0.90982246,0.18210289,0.6149304
0.0,0.8433582,0.93997824,0.092488736
5.0,0.12509367,0.8330812,0.56369966
2.0,0.9200187,0.4147765,0.15578109
7.0,0.2959137,0.1492247,0.40919578
0.0,0.9010838,0.91542184,0.13356882
4.0,0.71737665,0.39336035,0.8617388
0.0,0.7480451,0.88045794,0.27239788
2.0,0.8543136,0.2998944,0.13210791
9.0,0.26138303,0.40595496,0.8510148
4.0,0.8956574,0.20553178,0.9696314
3.0,0.121563405,0.51231456,0.23001105
1.0,0.84501725,0.16802466,0.58023006
7.0,0.33343056,0.28525215,0.5503541
7.0,0.14769217,0.07435784,0.57104033
5.0,0.2686441,0.5780529,0.61854285
1.0,0.9182023,0.17827576,0.63557595
3.0,0.04031235,0.5673157,0.18166408
1.0,0.9119667,0.06900081,0.6614527
8.0,0.4274616,0.2898909,0.3038129
5.0,0.14491898,0.8503549,0.77700007
0.0,0.793453,0.9245069,0.13212353
6.0,0.83783007,0.77366614,0.7484185
0.0,0.7783758,0.8896315,0.18794894
4.0,0.6651788,0.21846837,0.9699608
2.0,0.93153036,0.27286953,0.055765986
1.0,0.90001106,0.104441136,0.26967877
9.0,0.13430709,0.3946611,0.86030525
1.0,0.8703867,0.09789705,0.50682837
2.0,0.8426257,0.42259154,0.19412163
5.0,0.103833765,0.919796,0.68391263
5.0,0.12194353,0.6657267,0.6859572
4.0,0.5100016,0.35922587,0.94749165
9.0,0.124440014,0.35287264,0.8712066
8.0,0.404482,0.46727484,0.27922487
5.0,0.15619129,0.8540031,0.66486335
9.0,0.12431529,0.20280603,0.72681063
5.0,0.17951754,0.6909841,0.45081314
0.0,0.6813718,0.8558342,0.2870959
3.0,0.121337354,0.43534976,0.16747355
6.0,0.90966463,0.84412676,0.9025264
5.0,0.3633633,0.75974315,0.7077387
7.0,0.2062977,0.07201186,0.5776651
6.0,0.9507173,0.886816,0.9124781
4.0,0.74429756,0.24927011,0.93975186
4.0,0.7150914,0.38206163,0.78986204
6.0,0.95554864,0.8785374,0.95584524
2.0,0.8851259,0.52491385,0.17835972
4.0,0.59824115,0.44110543,0.9383416
7.0,0.19207087,0.03684941,0.61683506
3.0,0.091834635,0.6397098,0.20157248
2.0,0.6469812,0.4998258,0.2556885
4.0,0.6779777,0.38042045,0.8303176
8.0,0.4483698,0.18740779,0.10416788
3.0,0.4876229,0.38282233,0.20922232
1.0,0.92155635,0.09542987,0.58759475
9.0,0.18782285,0.34917244,0.74473584
