0,1,2,3
6.0,0.95482934,0.8459741,0.8167271
7.0,0.19314045,0.11196086,0.63037103
0.0,0.66189575,0.73234224,0.33692405
1.0,0.8834034,0.06702474,0.61050564
4.0,0.91601217,0.33015025,0.93646324
2.0,0.9294051,0.2616979,0.2731936
0.0,0.70767003,0.85925114,0.24043626
9.0,0.12142897,0.4220375,0.87984216
1.0,0.91381145,0.23072922,0.556099
0.0,0.68602914,0.8414782,0.35098702
7.0,0.25860095,0.06475702,0.4903766
9.0,0.1583685,0.416525,0.6922771
0.0,0.68216467,0.87850785,0.21710512
3.0,0.1473718,0.54882675,0.2102113
3.0,0.18358791,0.53388387,0.2298142
1.0,0.91042876,0.13033658,0.6665346
8.0,0.36219263,0.23545924,0.1330969
8.0,0.3860367,0.32706767,0.33674043
1.0,0.90496325,0.11398557,0.6271701
0.0,0.8006318,0.95167744,0.12034047
7.0,0.20205614,0.052735895,0.49788356
3.0,0.0629569,0.5368133,0.20188552
7.0,0.17629439,0.045856535,0.49317533
7.0,0.15428066,0.14708158,0.5863902
9.0,0.16076097,0.39514184,0.73380405
3.0,0.1002087,0.47243825,0.27446875
3.0,0.06326631,0.5403264,0.21749079
6.0,0.95565724,0.90507865,0.9536381
3.0,0.024475038,0.60501003,0.20436361
3.0,0.14891213,0.5528123,0.30736798
3.0,0.076161444,0.5399928,0.25815982
7.0,0.2761107,0.22818473,0.4352384
4.0,0.618977,0.23930788,0.9798765
2.0,0.8552772,0.41107535,0.18273461
1.0,0.79475653,0.123033226,0.56057703
9.0,0.1373083,0.4206047,0.8486768
9.0,0.24459338,0.42803115,0.7341437
8.0,0.38411885,0.23582521,0.2589323
6.0,0.93505514,0.8945589,0.9024484
7.0,0.21609524,0.035882294,0.5015368
5.0,0.11630198,0.87616205,0.58950615
5.0,0.15368667,0.8071113,0.6460059
5.0,0.09893724,0.79332674,0.68362594
5.0,0.10231662,0.9114276,0.79474634
5.0,0.29466623,0.69560236,0.6397345
5.0,0.20253372,0.9227911,0.78247344
3.0,0.034352064,0.5906855,0.29903045
1.0,0.81093836,0.18703017,0.6921837
5.0,0.08025268,0.8194771,0.50403833
1.0,0.90269005,0.086957574,0.66595656
1.0,0.899648,0.16681817,0.5659131
8.0,0.35510334,0.17438495,0.12216222
2.0,0.8843397,0.35973936,0.11834958
