0,1,2,3
7.0,0.67466074,0.14953405,0.5911313
7.0,0.81416476,0.17114624,0.8408677
5.0,0.3265658,0.8977126,0.14275253
8.0,0.5748273,0.53501457,0.213541
6.0,0.022441596,0.5719437,0.05852005
5.0,0.26384577,0.96667874,0.051660895
8.0,0.5705487,0.48066476,0.017523348
5.0,0.3562345,0.9625851,0.04137647
6.0,0.019944906,0.6022062,0.04265043
7.0,0.8552842,0.08471611,0.86798596
8.0,0.5895741,0.633016,0.07267165
2.0,0.8829497,0.18968526,0.16593933
3.0,0.9857228,0.9580897,0.050406843
5.0,0.35243753,0.96665204,0.094652295
9.0,0.633763,0.06480324,0.045752317
5.0,0.34178215,0.9522176,0.083955735
8.0,0.58411807,0.6680092,0.00971359
3.0,0.9621971,0.958734,0.10553032
0.0,0.19845378,0.21145129,0.9558517
6.0,0.05845964,0.47652686,0.15793246
4.0,0.16158065,0.057320118,0.056143135
2.0,0.98671913,0.48941496,0.11440882
7.0,0.70720094,0.18444532,0.8685045
7.0,0.9495387,0.05056572,0.8996997
3.0,0.98081326,0.9229185,0.16042551
7.0,0.96366966,0.068410724,0.8599715
0.0,0.2545613,0.26240364,0.88850677
4.0,0.23007354,0.042949498,0.034651726
8.0,0.5478886,0.61532956,0.015453458
3.0,0.892869,0.9038569,0.12399268
7.0,0.65227175,0.089010954,0.75321895
9.0,0.6969136,0.04971981,0.06945872
6.0,0.032538205,0.51390195,0.017634362
6.0,0.049034655,0.7164278,0.07013652
2.0,0.6974926,0.3246101,0.35888013
6.0,0.12462106,0.6824722,0.24216685
7.0,0.8936962,0.09347424,0.9046042
5.0,0.40348023,0.92615885,0.2727275
6.0,0.11214137,0.6541108,0.079812706
6.0,0.08467287,0.67061114,0.21681654
2.0,0.9824537,0.23367041,0.027304381
0.0,0.31170422,0.46659696,0.4281901
3.0,0.97823846,0.9302771,0.092015356
4.0,0.11466849,0.043727815,0.032137513
2.0,0.75619715,0.45157883,0.42048395
9.0,0.53475606,0.03811434,0.051472783
1.0,0.5194062,0.7626623,0.8176081
9.0,0.64206696,0.07819036,0.0780355
9.0,0.7171146,0.06670374,0.05131316
9.0,0.81865793,0.046919525,0.05920157
6.0,0.096331865,0.6979648,0.28122193
7.0,0.9496114,0.10802567,0.9376443
2.0,0.98106915,0.29951936,0.07656723
4.0,0.051698267,0.051986307,0.007966518
8.0,0.7414318,0.5264997,0.4663501
8.0,0.61338705,0.5107941,0.08670992
2.0,0.98418534,0.31238294,0.02437833
7.0,0.9504492,0.046533376,0.8828992
6.0,0.21059987,0.60240877,0.3939474
3.0,0.89651793,0.93344307,0.15931618
3.0,0.946663,0.87482154,0.12811771
9.0,0.6482915,0.06958473,0.056599945
5.0,0.38570666,0.9874932,0.120853424
8.0,0.46895397,0.62237227,0.08583298
1.0,0.58802724,0.77616096,0.89035827
9.0,0.62701494,0.03563413,0.052795917
2.0,0.98353815,0.31796128,0.0708015
8.0,0.61839724,0.62628365,0.006466508
1.0,0.59614795,0.81012714,0.89754915
3.0,0.9773156,0.95576674,0.076253414
4.0,0.3441896,0.10248521,0.16157728
8.0,0.6234394,0.66987264,0.06482896
9.0,0.6470141,0.06734544,0.1012173
